ID,Ten,GioiTinh,ChucVu,PhongBan,HieuSuat,NgayVaoLam,TrangThai,Luong,Thuong,SoDienThoai,Email
195,Bui Ngoc Chi,Nu,Quan ly,Ke toan,87,2024-10-10,Dang lam viec,21452049,2609224,0810689901,buingocchi147@yahoo.com
196,Pham Minh An,Nam,Nhan vien,Ke toan,83,2022-07-03,Dang lam viec,19685414,3703832,0617346625,phamminhan539@gmail.com
197,Phan Hong Chi,Nam,Nhan vien,Ke toan,62,2023-11-25,Dang lam viec,19761062,3018470,0582456385,phanhongchi130@yahoo.com
198,Nguyen Duc Trang,Nam,Nhan vien,Ke toan,83,2020-07-17,Dang lam viec,14693203,3912090,0363505003,nguyenductrang784@yahoo.com
199,Hoang Quang An,Nam,Quan ly,Marketing,60,2021-09-03,Dang lam viec,14846494,3931383,0643806389,hoangquangan461@gmail.com
200,Le Quang Binh,Nam,Quan ly,IT,65,2018-04-26,Dang lam viec,19791719,7377354,0147447293,lequangbinh210@gmail.com
201,Phan Van Dung,Nam,Truong phong,Marketing,89,2024-09-24,Dang lam viec,18962281,3304354,0405076111,phanvandung574@yahoo.com
202,Bui Hong Khanh,Nam,Truong phong,Ke toan,93,2022-06-01,Dang lam viec,13279945,2657760,0607638501,buihongkhanh675@yahoo.com
203,Tran Thanh An,Nam,Nhan vien,HR,97,2020-02-20,Da nghi viec,11550321,2208689,0439451803,tranthanhan23@gmail.com
204,Bui Hong Trang,Nam,Quan ly,IT,96,2021-07-04,Da nghi viec,24790907,5478267,0549407135,buihongtrang269@gmail.com
205,Phan Thi Binh,Nu,Nhan vien,Ke toan,72,2018-06-09,Da nghi viec,14694462,3292963,0683632012,phanthibinh975@company.vn
206,Pham Ngoc Giang,Nu,Truong phong,Marketing,63,2018-01-15,Dang lam viec,18529740,2204159,0270770271,phamngocgiang636@company.vn
207,Tran Hong Giang,Nam,Truong phong,Ke toan,65,2018-05-28,Da nghi viec,21668650,2988804,0177854298,tranhonggiang265@gmail.com
208,Vu Van Hoa,Nam,Truong phong,IT,89,2020-09-24,Da nghi viec,22651132,7842078,0197471630,vuvanhoa436@yahoo.com
209,Tran Ngoc Binh,Nam,Nhan vien,IT,70,2020-08-18,Dang lam viec,24128569,7590775,0874031404,tranngocbinh704@company.vn
210,Hoang Thanh Trang,Nu,Truong phong,IT,68,2018-03-08,Dang lam viec,29706486,6517228,0186660939,hoangthanhtrang317@yahoo.com
211,Pham Thanh Trang,Nu,Nhan vien,Marketing,67,2021-07-04,Da nghi viec,15315034,2246961,0823518487,phamthanhtrang691@company.vn
212,Do Thi Binh,Nam,Quan ly,Ke toan,80,2020-03-20,Da nghi viec,12479265,4647154,0308267016,dothibinh807@company.vn
213,Bui Thanh Hoa,Nu,Quan ly,HR,77,2020-10-08,Dang lam viec,11587882,2104539,0988662248,buithanhhoa737@gmail.com
214,Le Hong Chi,Nam,Nhan vien,IT,74,2023-08-08,Da nghi viec,21846604,3128396,0136245924,lehongchi774@company.vn
215,Tran Van Nam,Nu,Truong phong,IT,79,2024-03-01,Da nghi viec,17693817,7955799,0061519584,tranvannam581@company.vn
216,Nguyen Ngoc Trang,Nu,Nhan vien,HR,72,2020-01-22,Dang lam viec,18035036,1166168,0028247744,nguyenngoctrang942@yahoo.com
217,Tran Hong Trang,Nam,Nhan vien,IT,63,2022-11-09,Dang lam viec,15306845,2444069,0649973310,tranhongtrang746@gmail.com
218,Pham Duc Giang,Nam,Quan ly,Marketing,99,2024-06-03,Da nghi viec,22798418,5646766,0521302547,phamducgiang768@gmail.com
219,Le Minh Giang,Nu,Truong phong,IT,68,2023-01-15,Da nghi viec,14654004,4302952,0694740191,leminhgiang81@yahoo.com
220,Nguyen Minh Khanh,Nam,Truong phong,Marketing,76,2021-03-14,Dang lam viec,22331168,5305805,0766948692,nguyenminhkhanh802@gmail.com
221,Hoang Quang Nam,Nu,Quan ly,Ke toan,79,2020-02-15,Dang lam viec,12694521,1887704,0932295635,hoangquangnam379@gmail.com
222,Pham Thanh Linh,Nam,Quan ly,Marketing,81,2023-10-12,Dang lam viec,15589899,4902693,0399857875,phamthanhlinh641@yahoo.com
223,Tran Van Binh,Nam,Truong phong,IT,89,2024-06-30,Da nghi viec,24918013,5867159,0224699660,tranvanbinh549@yahoo.com
224,Do Quang Chi,Nu,Quan ly,Ke toan,87,2020-08-13,Da nghi viec,11947729,1597828,0752070629,doquangchi614@yahoo.com
225,Hoang Minh Linh,Nam,Nhan vien,IT,88,2019-10-29,Da nghi viec,14053904,2457433,0848855693,hoangminhlinh287@company.vn
226,Do Ngoc Chi,Nam,Truong phong,HR,72,2018-04-17,Dang lam viec,15998206,2615768,0283574640,dongocchi609@yahoo.com
227,Pham Duc Binh,Nu,Truong phong,Ke toan,75,2018-10-25,Dang lam viec,18903359,2803737,0106318596,phamducbinh433@company.vn
228,Bui Ngoc Binh,Nam,Truong phong,IT,65,2021-02-25,Dang lam viec,20509388,4034408,0589807521,buingocbinh946@yahoo.com
229,Hoang Van Linh,Nam,Quan ly,Marketing,89,2024-07-11,Da nghi viec,14150325,5775003,0188658045,hoangvanlinh535@company.vn
230,Dang Minh Nam,Nam,Quan ly,Ke toan,60,2021-04-14,Dang lam viec,20343796,3564993,0796963524,dangminhnam663@company.vn
231,Phan Thi Khanh,Nam,Nhan vien,Ke toan,72,2020-11-16,Da nghi viec,14917026,3941200,0399780164,phanthikhanh579@company.vn
232,Le Hong Dung,Nam,Nhan vien,Ke toan,91,2019-07-12,Dang lam viec,20665732,4140739,0323824043,lehongdung69@gmail.com
233,Phan Ngoc Chi,Nu,Quan ly,Marketing,85,2024-06-24,Da nghi viec,20801673,3006120,0649283684,phanngocchi938@yahoo.com
234,Do Hong Hoa,Nam,Nhan vien,IT,79,2024-09-12,Dang lam viec,20653511,5193309,0396820028,dohonghoa65@company.vn
235,Do Duc Khanh,Nu,Quan ly,Marketing,81,2019-12-02,Da nghi viec,14436496,4639647,0352781535,doduckhanh136@gmail.com
236,Bui Thi Chi,Nu,Nhan vien,IT,97,2024-05-04,Dang lam viec,14008135,5557494,0807775824,buithichi161@company.vn
237,Do Ngoc An,Nu,Truong phong,Ke toan,75,2024-02-20,Da nghi viec,12083496,2379709,0193883543,dongocan818@company.vn
238,Dang Quang Nam,Nam,Truong phong,HR,73,2024-10-06,Da nghi viec,15039537,2906575,0659288979,dangquangnam606@gmail.com
239,Pham Quang Binh,Nu,Truong phong,Marketing,63,2019-03-04,Dang lam viec,11167089,4603880,0720032151,phamquangbinh536@company.vn
240,Pham Van Dung,Nu,Truong phong,IT,87,2021-02-28,Da nghi viec,25475637,3036887,0520517799,phamvandung314@company.vn
241,Phan Ngoc Trang,Nam,Nhan vien,Ke toan,71,2020-07-28,Da nghi viec,21119903,2861541,0341786352,phanngoctrang744@company.vn
242,Tran Duc Khanh,Nam,Truong phong,HR,71,2019-06-05,Da nghi viec,14284126,1770987,0739256772,tranduckhanh737@yahoo.com
243,Tran Hong Khanh,Nu,Nhan vien,Marketing,85,2021-10-07,Dang lam viec,18371505,5729680,0394064592,tranhongkhanh175@yahoo.com
244,Pham Duc Nam,Nam,Nhan vien,IT,79,2019-02-12,Dang lam viec,22174607,5164083,0247160750,phamducnam433@gmail.com
245,Do Quang Chi,Nam,Quan ly,IT,69,2023-05-22,Da nghi viec,26465220,5533626,0801770145,doquangchi585@yahoo.com
246,Le Hong Trang,Nu,Truong phong,IT,67,2023-10-06,Dang lam viec,26813637,2431828,0119593213,lehongtrang724@yahoo.com
247,Pham Thi Khanh,Nu,Truong phong,Ke toan,61,2018-08-28,Da nghi viec,17371449,2006097,0463394559,phamthikhanh682@company.vn
248,Phan Minh Khanh,Nu,Nhan vien,Marketing,85,2024-06-26,Dang lam viec,23476642,4670224,0608249869,phanminhkhanh250@gmail.com
249,Hoang Van An,Nam,Nhan vien,IT,61,2020-10-01,Da nghi viec,12029476,2186122,0880454657,hoangvanan819@yahoo.com
250,Dang Minh An,Nu,Truong phong,IT,94,2019-12-29,Dang lam viec,15886280,4610914,0083150385,dangminhan899@yahoo.com
251,Pham Hong Linh,Nu,Truong phong,Ke toan,74,2020-06-23,Dang lam viec,10272163,3661985,0233967956,phamhonglinh967@yahoo.com
252,Tran Ngoc Linh,Nam,Quan ly,IT,97,2019-01-11,Dang lam viec,17275637,3900175,0757229803,tranngoclinh906@company.vn
253,Tran Minh Dung,Nam,Truong phong,Ke toan,60,2019-11-04,Da nghi viec,15923420,1763874,0049468106,tranminhdung240@company.vn
254,Nguyen Hong Dung,Nu,Quan ly,Ke toan,82,2020-07-11,Dang lam viec,12858576,3584112,0308575025,nguyenhongdung907@yahoo.com
255,Bui Thi Chi,Nu,Nhan vien,Ke toan,63,2022-10-29,Da nghi viec,14495612,2775609,0876502456,buithichi167@gmail.com
256,Le Thanh Khanh,Nu,Truong phong,IT,69,2020-10-16,Da nghi viec,18902645,2210638,0473828480,lethanhkhanh183@company.vn
257,Hoang Thi Nam,Nam,Truong phong,IT,69,2019-05-03,Da nghi viec,13122002,3209668,0931463201,hoangthinam777@company.vn
258,Hoang Duc Giang,Nam,Nhan vien,Marketing,83,2018-02-04,Da nghi viec,23961515,5941699,0170411216,hoangducgiang54@yahoo.com
259,Le Hong Nam,Nam,Nhan vien,Ke toan,94,2022-09-22,Da nghi viec,19468300,1713595,0218829030,lehongnam221@yahoo.com
260,Phan Thanh Chi,Nu,Quan ly,Marketing,60,2022-05-05,Dang lam viec,16559405,2842743,0712814415,phanthanhchi589@yahoo.com
261,Do Ngoc Hoa,Nu,Truong phong,Ke toan,63,2024-06-21,Da nghi viec,17375768,4234822,0968589658,dongochoa963@gmail.com
262,Dang Van Khanh,Nam,Quan ly,HR,94,2018-11-08,Da nghi viec,13374792,3728010,0085549996,dangvankhanh639@yahoo.com
263,Hoang Ngoc Khanh,Nam,Quan ly,Ke toan,63,2019-07-02,Da nghi viec,14941378,2428677,0363881661,hoangngockhanh744@gmail.com
264,Le Hong An,Nu,Quan ly,HR,90,2021-07-24,Da nghi viec,9305572,3206245,0003339523,lehongan935@company.vn
265,Nguyen Van Chi,Nam,Truong phong,Marketing,69,2021-09-27,Da nghi viec,13778617,5981760,0470306380,nguyenvanchi228@company.vn
266,Pham Thi Trang,Nu,Truong phong,IT,65,2018-02-12,Dang lam viec,17037259,6040193,0205136050,phamthitrang13@yahoo.com
267,Phan Ngoc Trang,Nam,Nhan vien,Ke toan,100,2023-01-29,Da nghi viec,20874603,4636695,0734597860,phanngoctrang74@yahoo.com
268,Do Van Linh,Nam,Truong phong,Marketing,69,2021-10-15,Da nghi viec,20440012,5112126,0549936181,dovanlinh836@gmail.com
269,Tran Thanh Binh,Nam,Nhan vien,Marketing,79,2019-06-20,Dang lam viec,19560329,3575516,0257705201,tranthanhbinh502@gmail.com
270,Vu Thi Khanh,Nu,Quan ly,Ke toan,100,2024-06-28,Dang lam viec,11921877,1976537,0431531307,vuthikhanh859@company.vn
271,Nguyen Hong Linh,Nam,Truong phong,IT,88,2020-03-04,Da nghi viec,25181498,7614790,0404836835,nguyenhonglinh142@company.vn
272,Dang Thanh Khanh,Nu,Truong phong,IT,65,2023-01-25,Dang lam viec,15783112,3629846,0818465391,dangthanhkhanh287@yahoo.com
273,Bui Thi Nam,Nam,Quan ly,Marketing,71,2018-09-01,Da nghi viec,16536590,2112152,0140006125,buithinam845@company.vn
274,Pham Duc Giang,Nu,Quan ly,Marketing,99,2019-03-07,Dang lam viec,24105577,5136848,0609931985,phamducgiang6@company.vn
275,Vu Quang Hoa,Nam,Nhan vien,Ke toan,61,2024-12-17,Dang lam viec,18179308,2575540,0957821611,vuquanghoa510@gmail.com
276,Le Thi An,Nam,Nhan vien,Marketing,100,2020-06-27,Da nghi viec,20479268,3983970,0560461265,lethian837@company.vn
277,Le Thi An,Nam,Truong phong,IT,91,2019-11-22,Dang lam viec,22772590,3628240,0918963149,lethian578@company.vn
278,Hoang Thanh Khanh,Nam,Quan ly,HR,66,2022-06-08,Da nghi viec,14160873,2690128,0169701789,hoangthanhkhanh691@gmail.com
279,Tran Minh An,Nu,Quan ly,HR,67,2018-04-22,Dang lam viec,10112364,3680556,0554260325,tranminhan677@gmail.com
280,Vu Minh An,Nam,Quan ly,HR,96,2020-10-05,Da nghi viec,15958141,3608163,0154276333,vuminhan900@company.vn
281,Do Van An,Nam,Nhan vien,Marketing,86,2021-06-17,Dang lam viec,22754371,5357636,0021702718,dovanan485@gmail.com
282,Vu Thi Hoa,Nam,Truong phong,HR,92,2023-10-15,Da nghi viec,13823778,2954872,0345309108,vuthihoa378@gmail.com
283,Nguyen Thi Hoa,Nu,Nhan vien,Marketing,74,2023-05-16,Dang lam viec,24180840,4453225,0242498471,nguyenthihoa175@yahoo.com
284,Hoang Van Linh,Nam,Truong phong,Ke toan,69,2024-04-19,Dang lam viec,15578732,3468827,0276457562,hoangvanlinh906@company.vn
285,Nguyen Quang Dung,Nu,Quan ly,IT,66,2021-01-14,Dang lam viec,19114553,5278859,0387125779,nguyenquangdung970@company.vn
286,Tran Quang Khanh,Nu,Quan ly,HR,95,2020-04-25,Dang lam viec,14459307,3164959,0483862616,tranquangkhanh712@gmail.com
287,Dang Thanh Hoa,Nu,Quan ly,IT,60,2021-03-31,Da nghi viec,16424575,4456260,0230742355,dangthanhhoa257@yahoo.com
288,Vu Thanh Binh,Nam,Quan ly,IT,68,2020-05-13,Da nghi viec,21302579,6916724,0448589790,vuthanhbinh390@gmail.com
289,Vu Duc An,Nu,Truong phong,IT,85,2019-01-17,Dang lam viec,22302388,2780124,0984246377,vuducan883@gmail.com
290,Vu Ngoc Hoa,Nam,Quan ly,IT,67,2022-06-17,Dang lam viec,20641720,5941786,0942243478,vungochoa140@company.vn
291,Bui Quang Nam,Nam,Quan ly,IT,78,2019-07-08,Dang lam viec,25117650,6403891,0121157383,buiquangnam439@yahoo.com
292,Pham Quang Chi,Nam,Quan ly,HR,94,2024-03-11,Dang lam viec,16191538,3284009,0707913004,phamquangchi705@company.vn
293,Do Van Trang,Nu,Quan ly,Marketing,80,2018-10-08,Dang lam viec,16538390,4382043,0768020644,dovantrang297@company.vn
294,Nguyen Thi Binh,Nu,Nhan vien,IT,71,2020-04-13,Dang lam viec,21862187,4605851,0086485716,nguyenthibinh414@gmail.com
295,Tran Hong Giang,Nam,Quan ly,Marketing,72,2024-05-07,Da nghi viec,18103939,3752358,0318991785,tranhonggiang408@gmail.com
296,Hoang Quang Hoa,Nu,Nhan vien,HR,60,2024-07-03,Da nghi viec,17268565,3674312,0139285756,hoangquanghoa196@yahoo.com
297,Do Ngoc Giang,Nam,Quan ly,Marketing,85,2020-06-25,Da nghi viec,16116092,5446246,0034996070,dongocgiang564@yahoo.com
298,Vu Duc An,Nu,Quan ly,Ke toan,60,2024-07-23,Dang lam viec,19916372,1856779,0186255295,vuducan83@company.vn
299,Le Ngoc Binh,Nam,Nhan vien,IT,92,2023-04-05,Da nghi viec,19970639,4653867,0208881508,lengocbinh166@yahoo.com
300,Nguyen Quang Giang,Nu,Nhan vien,Marketing,95,2022-09-18,Dang lam viec,11508282,5820269,0609361222,nguyenquanggiang154@yahoo.com
301,Do Thanh Hoa,Nu,Truong phong,IT,79,2020-02-01,Dang lam viec,15259067,5807915,0599279378,dothanhhoa597@gmail.com
302,Vu Minh Chi,Nu,Quan ly,IT,91,2020-01-27,Da nghi viec,13161901,2672704,0379378368,vuminhchi823@company.vn
303,Vu Quang Chi,Nam,Quan ly,IT,87,2019-07-13,Da nghi viec,26704508,4989307,0565391718,vuquangchi236@yahoo.com
304,Hoang Van Linh,Nu,Nhan vien,Marketing,75,2024-01-22,Dang lam viec,21307416,3129728,0476229236,hoangvanlinh335@company.vn
305,Vu Thanh An,Nu,Truong phong,Ke toan,78,2024-07-12,Dang lam viec,11517417,2187394,0177494962,vuthanhan244@gmail.com
306,Bui Van Hoa,Nam,Truong phong,Ke toan,89,2019-10-24,Dang lam viec,10296183,2013587,0826618100,buivanhoa86@company.vn
307,Bui Hong Giang,Nu,Nhan vien,HR,94,2021-06-23,Dang lam viec,15465140,1116776,0055451143,buihonggiang19@gmail.com
308,Nguyen Thi Khanh,Nam,Nhan vien,Marketing,71,2020-10-26,Da nghi viec,18754216,4901772,0206403114,nguyenthikhanh497@company.vn
309,Vu Ngoc Dung,Nam,Nhan vien,Ke toan,100,2018-03-11,Dang lam viec,11239410,4139810,0851977965,vungocdung626@company.vn
310,Do Hong Chi,Nu,Nhan vien,HR,94,2020-01-15,Dang lam viec,11230058,2287548,0441774604,dohongchi385@yahoo.com
311,Le Minh Dung,Nam,Quan ly,IT,76,2024-03-26,Dang lam viec,13000222,5599385,0949178452,leminhdung930@yahoo.com
312,Hoang Quang Dung,Nu,Quan ly,Ke toan,71,2024-09-13,Dang lam viec,13094525,2990463,0837780326,hoangquangdung181@gmail.com
313,Vu Minh Nam,Nam,Nhan vien,Marketing,61,2022-08-28,Da nghi viec,20928219,4845119,0777036220,vuminhnam975@company.vn
314,Vu Minh Linh,Nu,Nhan vien,Marketing,70,2018-10-21,Dang lam viec,13364089,5816257,0524907020,vuminhlinh455@gmail.com
315,Hoang Hong Trang,Nu,Quan ly,Marketing,80,2022-09-18,Dang lam viec,16279347,4348132,0838036280,hoanghongtrang840@gmail.com
316,Hoang Ngoc Trang,Nu,Quan ly,IT,73,2024-07-15,Dang lam viec,16338127,7750722,0002474785,hoangngoctrang128@company.vn
317,Pham Ngoc Hoa,Nu,Quan ly,Marketing,99,2022-01-12,Da nghi viec,22206622,4611800,0956761003,phamngochoa736@company.vn
318,Bui Ngoc Chi,Nu,Nhan vien,Marketing,72,2023-02-27,Dang lam viec,20710242,5226745,0420013586,buingocchi346@gmail.com
319,Bui Minh Giang,Nam,Truong phong,Marketing,91,2022-11-08,Dang lam viec,14818903,2541524,0609671116,buiminhgiang687@yahoo.com
320,Phan Hong Linh,Nu,Truong phong,Ke toan,92,2023-06-23,Dang lam viec,12195695,3452304,0861798890,phanhonglinh840@yahoo.com
321,Nguyen Hong Nam,Nam,Truong phong,Marketing,95,2018-03-08,Dang lam viec,18631603,2440712,0120280602,nguyenhongnam515@gmail.com
322,Pham Van Khanh,Nam,Quan ly,IT,80,2022-07-30,Dang lam viec,21249559,6092292,0215316289,phamvankhanh344@gmail.com
323,Hoang Minh Dung,Nu,Nhan vien,Ke toan,90,2024-06-18,Da nghi viec,19364171,2857527,0360433633,hoangminhdung500@company.vn
324,Le Thi Binh,Nam,Quan ly,HR,98,2021-04-23,Dang lam viec,18168659,2645804,0788473026,lethibinh820@gmail.com
325,Pham Thanh Binh,Nu,Nhan vien,Ke toan,82,2018-02-18,Da nghi viec,20735302,3169420,0497434618,phamthanhbinh67@company.vn
326,Nguyen Quang Nam,Nam,Nhan vien,IT,67,2021-07-29,Da nghi viec,20231913,7301985,0308148606,nguyenquangnam133@yahoo.com
327,Pham Hong Dung,Nam,Nhan vien,Marketing,77,2022-05-03,Da nghi viec,22645651,2566777,0790331552,phamhongdung281@yahoo.com
328,Dang Van Linh,Nam,Nhan vien,Ke toan,90,2018-03-01,Da nghi viec,19644407,3354238,0925611826,dangvanlinh963@gmail.com
329,Do Thanh Hoa,Nu,Nhan vien,Ke toan,73,2020-06-11,Da nghi viec,11617559,2299642,0335149661,dothanhhoa929@gmail.com
330,Hoang Thi Khanh,Nam,Truong phong,Marketing,65,2023-04-04,Da nghi viec,16245366,5221773,0285394206,hoangthikhanh116@company.vn
331,Hoang Van Linh,Nu,Nhan vien,HR,88,2020-12-01,Da nghi viec,16694936,3805792,0234103937,hoangvanlinh789@company.vn
332,Bui Thi Linh,Nu,Truong phong,HR,97,2021-09-09,Dang lam viec,9454691,3200880,0358543387,buithilinh703@yahoo.com
333,Hoang Ngoc Binh,Nu,Nhan vien,HR,80,2021-10-19,Da nghi viec,17062796,2835381,0824820890,hoangngocbinh934@yahoo.com
334,Dang Hong Giang,Nu,Nhan vien,Ke toan,61,2022-09-09,Dang lam viec,13134775,3083569,0413462420,danghonggiang41@gmail.com
335,Phan Minh Chi,Nam,Quan ly,Ke toan,85,2019-05-29,Dang lam viec,13732645,1866592,0738543049,phanminhchi532@gmail.com
336,Dang Minh Dung,Nam,Quan ly,IT,92,2019-11-22,Da nghi viec,25195228,4866628,0171769165,dangminhdung37@company.vn
337,Tran Van Linh,Nu,Truong phong,Ke toan,63,2022-03-20,Dang lam viec,16404858,1735980,0875130720,tranvanlinh581@yahoo.com
338,Nguyen Duc Chi,Nu,Truong phong,IT,62,2020-01-13,Da nghi viec,19671691,6725138,0071888033,nguyenducchi936@gmail.com
339,Do Ngoc Khanh,Nam,Nhan vien,HR,99,2019-01-08,Da nghi viec,16802697,2916494,0732545809,dongockhanh913@yahoo.com
340,Vu Duc Hoa,Nam,Nhan vien,Ke toan,94,2019-05-20,Dang lam viec,18028873,3472159,0043674661,vuduchoa743@yahoo.com
341,Nguyen Quang Binh,Nu,Nhan vien,HR,61,2024-07-31,Dang lam viec,11641344,3236882,0923812962,nguyenquangbinh977@company.vn
342,Dang Thanh Nam,Nam,Truong phong,IT,65,2019-07-22,Dang lam viec,23663862,2918480,0778531696,dangthanhnam547@company.vn
343,Tran Ngoc Trang,Nu,Quan ly,HR,70,2021-06-16,Da nghi viec,16162066,3175054,0998166487,tranngoctrang73@company.vn
344,Vu Duc An,Nu,Quan ly,IT,81,2018-06-24,Dang lam viec,26432184,5770914,0775259666,vuducan889@gmail.com
345,Do Duc Linh,Nu,Truong phong,Ke toan,91,2023-06-23,Dang lam viec,11953300,2702456,0106388579,doduclinh194@gmail.com
346,Bui Thi Giang,Nu,Quan ly,IT,70,2021-04-02,Dang lam viec,27863145,3778892,0027447464,buithigiang520@gmail.com
347,Nguyen Minh Dung,Nam,Quan ly,Ke toan,74,2022-07-28,Da nghi viec,18952576,1761565,0126569495,nguyenminhdung822@company.vn
348,Tran Thi Nam,Nu,Truong phong,Marketing,81,2021-10-04,Dang lam viec,19662350,2752740,0000167304,tranthinam951@gmail.com
349,Le Duc Trang,Nam,Truong phong,Ke toan,65,2018-12-01,Dang lam viec,14553803,4722584,0356842204,leductrang688@gmail.com
350,Le Ngoc Chi,Nu,Quan ly,HR,97,2022-05-28,Dang lam viec,11196973,1539752,0568851928,lengocchi31@company.vn
351,Dang Minh Chi,Nu,Truong phong,Ke toan,73,2019-05-15,Da nghi viec,15157744,3996205,0456987000,dangminhchi10@company.vn
352,Bui Thanh Khanh,Nu,Truong phong,Marketing,71,2018-09-24,Da nghi viec,24485582,5587723,0409140425,buithanhkhanh25@company.vn
353,Tran Thi Linh,Nu,Quan ly,HR,86,2020-09-17,Da nghi viec,10002530,1198892,0515874682,tranthilinh993@company.vn
354,Phan Thanh An,Nu,Truong phong,Ke toan,70,2018-11-07,Dang lam viec,16836810,2907516,0116475048,phanthanhan993@company.vn
355,Tran Duc Linh,Nam,Truong phong,Marketing,62,2022-03-03,Dang lam viec,13270241,5203829,0234619869,tranduclinh195@yahoo.com
356,Nguyen Van Chi,Nu,Quan ly,Marketing,91,2024-11-06,Dang lam viec,13275946,3615612,0027095121,nguyenvanchi738@gmail.com
357,Dang Duc Giang,Nu,Truong phong,IT,70,2023-06-05,Da nghi viec,12569260,7200970,0078452760,dangducgiang767@company.vn
358,Le Thi An,Nu,Quan ly,IT,67,2024-08-17,Da nghi viec,16204686,5801211,0711126378,lethian994@yahoo.com
359,Pham Duc Giang,Nu,Truong phong,HR,66,2021-02-16,Dang lam viec,17775235,2262808,0279092488,phamducgiang295@yahoo.com
360,Dang Van An,Nu,Nhan vien,Ke toan,66,2023-06-15,Da nghi viec,14629115,3665228,0264331535,dangvanan186@gmail.com
361,Le Thi Trang,Nu,Quan ly,Ke toan,68,2020-02-06,Da nghi viec,13989416,2618759,0887939353,lethitrang256@company.vn
362,Tran Thi Chi,Nu,Quan ly,HR,62,2019-02-27,Da nghi viec,10465810,2118841,0558253133,tranthichi151@company.vn
363,Dang Thi Khanh,Nam,Quan ly,Ke toan,67,2020-03-10,Dang lam viec,10693171,3079307,0354171768,dangthikhanh181@yahoo.com
364,Dang Thi Trang,Nu,Quan ly,HR,95,2019-05-06,Da nghi viec,17836132,3745014,0422948870,dangthitrang312@gmail.com
365,Bui Hong Linh,Nu,Nhan vien,IT,60,2018-12-05,Da nghi viec,28895169,6091809,0538383670,buihonglinh438@yahoo.com
366,Vu Quang Giang,Nam,Truong phong,IT,72,2020-01-22,Da nghi viec,22630476,2585436,0423895417,vuquanggiang852@company.vn
367,Phan Quang An,Nam,Nhan vien,HR,74,2018-08-12,Da nghi viec,16715178,3358150,0408189538,phanquangan835@gmail.com
368,Do Minh Hoa,Nam,Truong phong,IT,79,2024-07-25,Dang lam viec,17414380,3034758,0837275187,dominhhoa341@company.vn
369,Hoang Duc Linh,Nam,Quan ly,Marketing,63,2021-05-16,Da nghi viec,18609110,3517362,0723361608,hoangduclinh223@gmail.com
370,Do Ngoc Trang,Nam,Nhan vien,IT,83,2023-04-30,Dang lam viec,25504225,4243488,0963861319,dongoctrang146@company.vn
371,Bui Hong Khanh,Nu,Quan ly,IT,100,2021-02-28,Da nghi viec,13638956,7303286,0194381044,buihongkhanh723@gmail.com
372,Dang Hong Linh,Nu,Nhan vien,HR,95,2018-03-07,Dang lam viec,19040766,2744747,0968598253,danghonglinh93@company.vn
373,Nguyen Minh Nam,Nu,Quan ly,Marketing,96,2022-08-25,Da nghi viec,22854363,5964871,0830254915,nguyenminhnam674@yahoo.com
374,Phan Minh Chi,Nam,Nhan vien,Marketing,82,2020-06-26,Dang lam viec,13557994,5072104,0267316833,phanminhchi216@yahoo.com
375,Dang Minh Khanh,Nam,Truong phong,Ke toan,87,2023-08-02,Da nghi viec,21002327,4527526,0455677739,dangminhkhanh951@gmail.com
376,Le Minh Trang,Nam,Quan ly,IT,84,2022-10-29,Da nghi viec,17792274,2665513,0790096566,leminhtrang352@gmail.com
377,Do Thi An,Nu,Nhan vien,Marketing,92,2020-09-01,Dang lam viec,19452585,2011819,0964963025,dothian418@company.vn
378,Pham Hong Chi,Nam,Truong phong,Marketing,68,2024-08-27,Da nghi viec,13100849,2453522,0785811651,phamhongchi746@company.vn
379,Le Thanh Chi,Nu,Truong phong,Ke toan,99,2020-03-13,Dang lam viec,14632549,1623695,0843831249,lethanhchi876@gmail.com
380,Tran Minh Hoa,Nam,Nhan vien,Ke toan,63,2021-07-11,Dang lam viec,10409483,4354108,0103081826,tranminhhoa275@gmail.com
381,Tran Minh Nam,Nam,Nhan vien,IT,64,2024-03-28,Da nghi viec,17780210,4259735,0411582233,tranminhnam476@yahoo.com
382,Le Hong Giang,Nu,Nhan vien,Marketing,70,2022-03-06,Dang lam viec,14374513,5441484,0898426895,lehonggiang434@yahoo.com
383,Tran Ngoc Dung,Nam,Nhan vien,Ke toan,69,2023-11-25,Da nghi viec,21597425,1979739,0393729997,tranngocdung235@gmail.com
384,Phan Thanh Dung,Nu,Nhan vien,Ke toan,66,2024-12-16,Dang lam viec,18095893,3022351,0830142436,phanthanhdung682@yahoo.com
385,Nguyen Duc Dung,Nam,Nhan vien,HR,63,2024-07-25,Dang lam viec,12648329,2569278,0848980671,nguyenducdung546@company.vn
386,Nguyen Ngoc Trang,Nu,Quan ly,HR,76,2023-04-16,Da nghi viec,17428958,1076068,0543905967,nguyenngoctrang862@yahoo.com
387,Dang Thi Dung,Nu,Nhan vien,HR,84,2018-10-01,Da nghi viec,13817005,2441484,0365466338,dangthidung503@yahoo.com
388,Vu Duc An,Nam,Truong phong,Marketing,84,2022-01-04,Dang lam viec,23375463,3030192,0809524936,vuducan142@company.vn
389,Phan Hong Nam,Nam,Truong phong,HR,91,2023-03-16,Da nghi viec,19337758,1760334,0205966117,phanhongnam121@gmail.com
